Title,SJR,H index,IPP,SNIP,Est. value (USD) (2023),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Ref. / Doc.,Coverage_Duration,Publisher,Labels
Informatika i ee Primeneniya,0.219,10,0.180327869,0.324322255,785336,0.490566038,0.765027322,15.14,10,"Federal Research Center Computer Science and Control"" of Russian Academy of Sciences""",0
Journal of Mathematics and Music,0.295,17,0.826086957,1.500955475,249248,0.215686275,0.553571429,28.07,19,Taylor and Francis Ltd.,1
Journal of Geodetic Science,0.271,23,0.933333333,0.518384159,124688,0.073170732,0.47826087,30.2,15,Walter de Gruyter GmbH,1
Advanced Mathematical Models and Applications,0.445,10,0.93220339,0.907737178,213040,0.31372549,0.372881356,26.58,5,Jomard Publishing,1
"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",1.076,64,4.182389937,1.555285644,849698,0.108108108,0.123287671,44.79,22,Taylor and Francis Ltd.,1
Logica Universalis,0.231,22,0.445945946,0.809885896,348778,0.03125,0.697368421,22.41,19,Birkhauser Verlag Basel,1
Mathematical Biology and Bioinformatics,0.165,11,0.584415584,0.317694694,308690,0.071428571,0.632911392,40.97,14,"Russian Academy of Sciences,Department of the Earth Sciences",0
Journal of Inequalities and Special Functions,0.239,6,0.756097561,0.912478478,25569,0.064516129,0.731707317,22.6,6,University of Prishtina,0
Mathematical Reports,0.125,14,0.178571429,0.218495348,461698,0.045454545,0.833333333,15.82,13,Publishing House of the Romanian Academy,0
Journal of Applied Mathematics and Informatics,0.187,8,0.475247525,0.498691598,615888,0.157407407,0.712871287,20.11,7,Korean Society for Computational and Applied Mathematics,0
Algebraic Structures and their Applications,0.185,5,0.323529412,0.578699434,214460,0.142857143,0.779411765,14.79,7,Yazd University,0
Proceedings of the International Geometry Center,0.305,5,0.344827586,0.738697637,191860,0.368421053,0.74137931,19.63,6,Odesa National University of Technology,0
Journal of Scientific Computing,1.248,96,2.786021505,1.294323838,5585530,0.086973632,0.254036598,44.05,40,Springer New York,1
Differencialnie Uravnenia i Protsesy Upravlenia,0.245,7,0.543209877,0.621021081,286979,0.346938776,0.654761905,24.39,6,Saint Petersburg State University,0
Theory of Stochastic Processes,0.133,8,0.157894737,0.528373211,85226,0,0.789473684,10.2,12,"Institute of Mathematics, Ukrainian National Academy of Sciences",0
Computational Optimization and Applications,1.322,91,2.444029851,1.576279339,1591537,0.073506891,0.284644195,40.35,34,Springer Netherlands,1
Zeitschrift fur Angewandte Mathematik und Physik,0.931,72,1.82388974,1.027532612,3563430,0.080172414,0.380368098,33.65,76,Birkhauser Verlag Basel,1
Russian Journal of Nonlinear Dynamics,0.26,11,0.568181818,0.471698255,581838,0.10989011,0.568181818,28.61,7,Institute of Computer Science Izhevsk,0
Journal of Nonlinear Modeling and Analysis,0.3,9,0.683333333,0.442640228,183748,0.238636364,0.608333333,30.05,6,Global Science Press,0
Categories and General Algebraic Structures with Applications,0.255,8,0.733333333,1.020737146,211516,0.029411765,0.595744681,25.86,9,Shahid Beheshti University,0
Journal of Non-Newtonian Fluid Mechanics,0.744,122,2.870662461,1.282086453,1821481,0.137149028,0.185410334,49.77,50,Elsevier B.V.,1
Discrete Mathematics and Applications,0.177,16,0.256198347,0.704180186,481770,0.575757576,0.795081967,14.43,34,Walter de Gruyter GmbH,1
Physica D: Nonlinear Phenomena,1.074,154,3.962722853,1.773038537,3361839,0.055391433,0.251207729,45.54,46,Elsevier B.V.,1
Journal of Computational Physics,1.679,306,4.362857143,1.678158739,13058616,0.125944842,0.165881244,52.71,60,Academic Press Inc.,1
Theoretical and Applied Mechanics,0.17,9,0.547619048,0.560946318,173519,0.041666667,0.604651163,24.5,9,Serbian Society for Mechanics,0
Electrical Engineering,0.431,47,1.874189364,0.66376441,3282610,0.08535109,0.2845953,33.94,32,Springer Verlag,1
Annales Mathematiques Blaise Pascal,0.151,4,0.25,0.475864052,67311,0,0.714285714,25,7,Universite Clermont Auvergne,0
REVUE ROUMAINE DE MATHEMATIQUES PURES ET APPLIQUEES,0.159,7,0.267605634,0.318770653,303404,0,0.865853659,22.38,8,Editura Academiei Romane,0
Quantitative Biology,0.631,24,1.787234043,0.41820045,562189,0.005208333,0.694444444,64.97,13,John Wiley and Sons Inc,0
NED University Journal of Research,0.104,4,0,0,17546,0.083333333,0.882352941,24.75,6,NED University Press,0
Journal of Econometrics,9.161,198,7.567328918,4.205613249,4028610,0.069051322,0.246696035,46.95,53,Elsevier B.V.,1
Journal of the Acoustical Society of Korea,0.187,6,0.264069264,0.322228576,756546,0.507042254,0.762931034,17.37,6,Acoustical Society of Korea,0
Tamkang Journal of Mathematics,0.227,24,0.707692308,0.929909196,297134,0,0.621212121,23.79,21,Tamkang University,1
Annales de l'Institut Henri Poincare (C) Analyse Non Lineaire,2.641,79,2.067567568,1.819878685,1010425,0.010169492,0.285714286,38.78,41,European Mathematical Society Publishing House,1
Economic Computation and Economic Cybernetics Studies and Research,0.238,24,1.173160173,0.46806227,986695,0.039145907,0.465517241,22.97,37,Editura Academia de studii economice,1
Decision Analytics Journal,0.68,31,3.837209302,1.271931013,641837,0.264705882,0.113636364,64.52,5,Elsevier Inc.,1
Jordan Journal of Mathematics and Statistics,0.208,8,0.415584416,0.399293053,537395,0.114285714,0.74025974,20.33,7,Yarmouk University,0
Journal of Computer and System Sciences,1.37,106,1.803278689,1.321732182,980025,0.052777778,0.35106383,37.38,59,Academic Press Inc.,1
